bill,total,for,against
SB251,36,6,30
SB93,36,33,3
HB402,35,17,18
SB269,35,21,14
HB580,34,0,34
HB106,34,15,19
HB269,34,10,24
SB238,34,32,2
HB172,34,26,8
SB255,33,28,5
HJ12,33,28,5
HB242,32,3,29
SB385,32,29,3
HB356,31,29,2
HB422,31,29,2
HB275,31,4,27
HB452,31,25,6
SB241,31,24,7
SB299,31,3,28
SJ16,31,16,15
HB190,30,22,8
HB216,30,30,0
SB176,30,1,29
HB182,30,4,26
HB342,30,6,24
SB233,29,3,26
HB338,29,26,3
HB385,28,2,26
HB560,28,6,22
SB187,28,25,3
HB534,28,24,4
SB185,27,25,2
HB457,27,5,22
SB60,27,24,3
SB232,27,26,1
HB3,26,26,0
HB186,26,3,23
HB382,26,21,5
HB108,26,21,5
SB106,26,24,2
SB279,26,4,22
SB203,25,24,1
HB151,25,2,23
HB322,25,22,3
HB327,25,2,23
SJ18,25,0,25
HB196,24,2,22
HB369,24,23,1
HB377,24,17,7
HB563,24,2,22
HJ33,24,2,22
HB252,24,10,14
HB142,24,2,22
HB153,24,2,22
HB218,23,21,2
HB256,23,23,0
HB499,23,23,0
HB333,23,18,5
SB124,22,22,0
HB622,22,20,2
HB459,22,20,2
SB254,22,19,3
HB11,21,4,17
HB389,21,6,15
HB575,21,1,20
SB388,21,1,20
HB707,21,5,16
HB336,21,19,2
SB87,21,20,1
HB92,20,20,0
HB398,20,18,2
HB476,20,20,0
HB12,19,18,1
HB217,19,19,0
HB370,19,19,0
HB598,19,18,1
SB145,19,0,19
HB61,19,4,15
HB254,19,8,11
HB430,19,17,2
HB435,19,16,3
HB134,19,8,11
HB157,19,15,4
HB164,19,4,15
HB533,19,17,2
SB273,19,12,7
HB554,18,15,3
HB562,18,18,0
HB602,18,18,0
HB132,18,10,8
HB283,18,15,3
SB258,18,14,4
HJ4,18,18,0
HB366,17,2,15
HB388,17,5,12
SB331,17,10,7
HB647,17,17,0
SB695,17,1,16
HB146,17,16,1
HB158,17,8,9
HB519,17,14,3
SB312,17,14,3
HB232,16,15,1
HB246,16,15,1
HB620,16,16,0
HB635,16,1,15
HB282,16,12,4
HB289,16,16,0
SJ3,16,7,9
HB147,16,12,4
HB512,16,1,15
HB515,16,16,0
HB538,16,10,6
HB9,15,3,12
HB368,15,14,1
HB568,15,3,12
SB122,15,0,15
SB322,15,3,12
SB352,15,2,13
SB178,15,3,12
SB367,15,3,12
HB152,15,7,8
HB311,15,14,1
HB316,15,1,14
HB67,14,4,10
HB70,14,14,0
HB441,14,12,2
HB511,14,0,14
HB514,14,1,13
HB520,14,13,1
SB77,14,10,4
SB102,14,2,12
HB23,13,12,1
HB50,13,3,10
HB421,13,12,1
HB442,13,5,8
SB16,13,12,1
SB220,13,1,12
SB1551,13,13,0
HB161,13,1,12
HB340,13,5,8
HB503,13,13,0
HB513,13,1,12
HB526,13,1,12
HB1,12,11,1
HB194,12,2,10
SB154,12,2,10
HB103,12,11,1
HB114,12,10,2
HB120,12,4,8
HB290,12,7,5
HB493,12,3,9
SJ17,12,10,2
HB37,11,10,1
HB185,11,2,9
HB220,11,2,9
HB571,11,3,8
HR11,11,2,9
SB139,11,0,11
HB248,11,11,0
HB409,11,10,1
SB382,11,5,6
HB305,11,9,2
SB59,11,10,1
HB179,11,1,10
HB506,11,3,8
HJ26,11,0,11
SB300,11,4,7
SR57,11,0,11
HB204,10,1,9
HB392,10,9,1
SB144,10,4,6
SB155,10,9,1
SB318,10,1,9
SB361,10,9,1
HB43,10,9,1
HB72,10,10,0
HB239,10,9,1
HB661,10,3,7
SB384,10,1,9
HB711,10,1,9
SB50,10,7,3
HB173,10,10,0
HB174,10,1,9
HB312,10,9,1
HB528,10,2,8
HJ9,10,10,0
SB109,10,10,0
HB15,9,9,0
HB219,9,8,1
HB394,9,0,9
HJ29,9,9,0
HJ337,9,9,0
SB135,9,1,8
HB90,9,8,1
HB399,9,3,6
HB449,9,8,1
HB458,9,8,1
HB195,8,5,3
HB573,8,8,0
HJ42,8,8,0
SB134,8,4,4
SB137,8,5,3
SB329,8,3,5
SB334,8,6,2
HB94,8,7,1
HB227,8,6,2
HB231,8,0,8
HB634,8,1,7
HB664,8,7,1
SB212,8,3,5
HB682,8,8,0
HB720,8,8,0
SB505,8,0,8
HB149,8,2,6
HB160,8,2,6
HB180,8,8,0
HB317,8,7,1
HB529,8,0,8
HJ2,8,0,8
HJ3,8,5,3
HJ20,8,8,0
HB0,7,4,3
HB4,7,6,1
HB20,7,5,2
HB22,7,5,2
HB210,7,6,1
HB214,7,0,7
HB585,7,6,1
HR1,7,2,5
HB69,7,7,0
HB85,7,0,7
HB91,7,7,0
HB237,7,3,4
HB439,7,6,1
HB643,7,5,2
SB209,7,0,7
SB369,7,7,0
HB130,7,2,5
HB495,7,4,3
SB11,7,6,1
SB51,7,1,6
SB53,7,0,7
SB58,7,5,2
SB633,7,4,3
HB178,7,2,5
HJ15,7,7,0
HJ24,7,5,2
SB86,7,4,3
SB268,7,2,5
SB302,7,1,6
SR46,7,6,1
HB27,6,5,1
HB38,6,5,1
HB390,6,6,0
HR4,6,5,1
SB163,6,5,1
SB316,6,1,5
SB341,6,0,6
HB440,6,3,3
HB639,6,2,4
SB181,6,3,3
SB189,6,2,4
HB126,6,3,3
HB274,6,4,2
SB22,6,4,2
SB229,6,1,5
SB263,6,1,5
SB588,6,1,5
HB345,6,5,1
SJ15,6,6,0
SJ57,6,0,6
SR47,6,6,0
SR50,6,6,0
HB42,5,5,0
HB360,5,2,3
HB593,5,2,3
HJ32,5,5,0
SB130,5,2,3
SB319,5,3,2
SB347,5,0,5
SB350,5,0,5
HB48,5,4,1
HB86,5,4,1
HB238,5,5,0
HB401,5,5,0
HB414,5,4,1
HB429,5,3,2
HB619,5,4,1
HB640,5,1,4
HB648,5,5,0
HB663,5,3,2
HB665,5,4,1
HB667,5,0,5
SB370,5,5,0
SB377,5,2,3
SB402,5,0,5
HB123,5,2,3
HB127,5,1,4
HB304,5,1,4
HB486,5,4,1
HB487,5,2,3
HB488,5,1,4
SB10,5,5,0
SB61,5,5,0
SB223,5,1,4
SB230,5,5,0
SB234,5,0,5
SB248,5,0,5
SB637,5,0,5
SB703,5,4,1
HB154,5,0,5
HB155,5,2,3
HB156,5,4,1
HB323,5,1,4
HB341,5,2,3
SB298,5,5,0
SB303,5,4,1
HB16,4,3,1
HB29,4,0,4
HB39,4,3,1
HB203,4,3,1
HB205,4,0,4
HB207,4,4,0
HB212,4,3,1
HB362,4,4,0
HB374,4,3,1
HB378,4,0,4
HB558,4,0,4
HB594,4,0,4
HJ102,4,0,4
HR5,4,3,1
SB125,4,3,1
SB345,4,0,4
SB357,4,4,0
HB58,4,2,2
HB64,4,3,1
HB71,4,0,4
HB88,4,0,4
HB97,4,3,1
HB226,4,0,4
HB266,4,0,4
HB268,4,0,4
HB624,4,2,2
HB625,4,1,3
HR65,4,0,4
SB2,4,3,1
SB179,4,2,2
SB183,4,0,4
SB190,4,1,3
SB196,4,1,3
SB197,4,3,1
SB373,4,4,0
SB407,4,3,1
SB427,4,0,4
SB468,4,0,4
HB295,4,3,1
HB310,4,4,0
HB492,4,4,0
SB221,4,3,1
SB225,4,1,3
SB242,4,3,1
SB250,4,4,0
SB686,4,1,3
